group_id,canonical_entity,raw_text
G002,ACME HOLDINGS LTD,Acme Holdings Ltd
G010,SAPPHIRE VENTURES,Sapphire Ventures
G013,JANE CYRUS,JA NE CYRUS
G014,ROBERT JAMES,ROBERT JAMES
G015,MARIA CHEN,MARIA CHEN
G020,ORBITAL SYSTEMS GMBH,ORBITA L SYSTEMS GMBH
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC SINGAPORE SGP
G004,ACME TRUST INC,Acme Trust Inc LONDON UNITED KINGDOM
G001,ACME INVESTMENTS LTD,Acme Investments Ltd
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC ROAD TOWN TORTOLA VG
G006,BANK OF CYPRUS,BANK OF CYPRUS SINGAPORE SGP
G016,GLOBAL HOLDINGS LTD,GLOBA L HOLDINGS LTD ZURICH CHE
G018,PACIFIC TRUST INC,PA CIFIC TRUST INC
G001,ACME INVESTMENTS LTD,Acme Investments Ltd NEW YORK NY 10003
G007,GLOBAL METALS SA,GLOBAL METALS SA
G001,ACME INVESTMENTS LTD,A cme Investments Ltd LOS ANGELES CA 90210
G006,BANK OF CYPRUS,BANK OF CYPRUS ZURICH CHE
G011,ALPHA TRUST FBO JANE DOE,ALPHA TRUST FBO JANE DOE LONDON UNITED KINGDOM
G019,EASTERN MERCHANTS PTE LTD,EASTERN MERCHANTS PTE LTD
G005,TYCHO FEEDER FUND INC,TYCHO FEEDER FUND INC LOS ANGELES CA 90210
G019,EASTERN MERCHANTS PTE LTD,EA STERN MERCHA NTS PTE LTD LOS ANGELES CA 90210
G012,JOHN DOE,JOHN DOE NEW YORK NY 10003
G006,BANK OF CYPRUS,BA NK OF CYPRUS NEW YORK NY 10003
G004,ACME TRUST INC,ACME TRUST INC NEW YORK NY 10003
G009,HARBOR ADVISORS LP,HA RBOR A DVISORS LP LOS ANGELES CA 90210
G009,HARBOR ADVISORS LP,Harbor Advisors Lp
G006,BANK OF CYPRUS,BA NK OF CYPRUS
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ZURICH CHE
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD NEW YORK NY 10003
G019,EASTERN MERCHANTS PTE LTD,Eastern Merchants Pte Ltd ZURICH CHE
G003,ACME TRADING LTD,A cme Trading Ltd SINGAPORE SGP
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD ROAD TOWN TORTOLA VG
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD ZURICH CHE
G009,HARBOR ADVISORS LP,HARBOR ADVISORS LP LOS ANGELES CA 90210
G007,GLOBAL METALS SA,Global Metals Sa NEW YORK NY 10003
G001,ACME INVESTMENTS LTD,ACME INVESTMENTS LTD LOS ANGELES CA 90210
G016,GLOBAL HOLDINGS LTD,Global Holdings Ltd LOS ANGELES CA 90210
G001,ACME INVESTMENTS LTD,A CME INVESTMENTS LTD ZURICH CHE
G004,ACME TRUST INC,A cme Trust Inc
